block,ppsUSDC,ppsmkUSD,ppsUSDT,ppsFRAX
18797700,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18798900,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18800100,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18801300,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18802500,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18803700,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18804900,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18806100,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18807300,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18808500,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18809700,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18810900,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18812100,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18813300,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18814500,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18815700,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18816900,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18818100,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18819300,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18820500,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18821700,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18822900,1.03E+18,1.00E+18,1.08E+18,1.03E+18
18824100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18825300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18826500,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18827700,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18828900,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18830100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18831300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18832500,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18833700,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18834900,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18836100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18837300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18838500,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18839700,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18840900,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18842100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18843300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18844500,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18845700,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18846900,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18848100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18849300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18850500,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18851700,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18852900,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18854100,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18855300,1.03E+18,1.00E+18,1.08E+18,1.04E+18
18856500,1.03E+18,1.00E+18,1.08E+18,1.04E+18
